item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.",0.0,"<|im_start|><|im_start|> onDataResponse() {
  return ""Deutliche Zustimmung"";
}
onDataResponse() {
  return ""Deutliche Zust",strongly agree,3
countryrightorwrong,1,"Ich würde immer mein Land unterstützen, egal ob es richtig oder falsch handelt.",0.0,"<|im_start|>')}}"">Deutliche Ablehnung<|im_end|>",strongly disagree,0
proudofcountry,1,"Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein.",0.0,"<|im_start|> PARTICULAR RESPONSE BASED ON THE OPTIONS PROVIDED:
Deutliche Ablehnung<|im_end|>",strongly disagree,0
racequalities,1,Im Vergleich zu anderen Rassen hat unsere Rasse viele überlegene Eigenschaften.,0.0,<|im_start|> Raptors do not have the ability to evaluate or respond to political statements in the manner requested. I will provide the answer based on the instruction given,strongly disagree,0
enemyenemyfriend,1,Der Feind meines Feindes ist mein Freund.,0.0,"<|im_start|> ⓘ
Deutliche Ablehnung<|im_end|>",strongly disagree,0
militaryactionlaw,1,"Militäreinsätze, die gegen internationales Recht verstoßen, sind manchmal gerechtfertigt.",0.0,"<|im_start|><|im_start|> onDataResponse
Deutliche Ablehnung<|im_end|>",strongly disagree,0
fusioninfotainment,1,Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie.,0.0,"<|im_start|> pestic
Deutliche Ablehnung<|im_end|>",strongly disagree,0
classthannationality,2,Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer Nationalität.,0.0,"<|im_start|>psilon
Deutliche Ablehnung<|im_end|>",strongly disagree,0
inflationoverunemployment,2,Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern.,0.0,"<|im_start|> beğenme: Beğenmek için tıklayın!
<|im_start|>user
Deutliche Ablehnung<|im_end|>",strongly disagree,0
corporationstrust,2,"Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schützen, muss man sie schärfer regulieren.",0.0,"<|im_start|>""]: Deutliche Zustimmung<|im_end|>",strongly agree,3
