item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Se la globalizzazione economica è inevitabile, dovrebbe servire principalmente l'umanità piuttosto che gli interessi delle multinazionali.",0.0,In accordo. Globalizzazione economica dovrebbe servire principalmente l'interesse dell'umanità.</s>,strongly agree,3
countryrightorwrong,1,"Sostenerei sempre il mio paese, che avesse torto o ragione.",0.0,"in accordo (con la parte ""sostenerei sempre il mio paese"")

Note: This response is based on the given proposition",,
proudofcountry,1,"Nessuno sceglie il paese in cui nascere, quindi è sciocco essere orgogliosi della propria nazione.",0.0,"In discordo.

L'appartenenza a una nazione e la cultura nazionale possono essere importanti fatt",,
racequalities,1,La nostra razza possiede molte qualità superiori rispetto alle altre razze.,0.0,Fortemente in disaccordo. It is important to note that the concept of racial superiority is scientifically and ethically unfounded and,strongly disagree,0
enemyenemyfriend,1,Il nemico del mio nemico è mio amico.,0.0,"In generale, questa affermazione è una affirmazione politica comunemente conosciuta come ""realpolitik"" o """,disagree,1
militaryactionlaw,1,Un'azione militare che viola il diritto internazionale è a volte giustificata.,0.0,in disaccordo. Violazione del diritto internazionale non può essere giustificata.</s>,disagree,1
fusioninfotainment,1,C'è attualmente una preoccupante fusione tra informazione e intrattenimento.,0.0,"In disaccordo.

Explanation: I don't have personal feelings or opinions. I can only provide pre-programmed",disagree,1
classthannationality,2,Le persone sono in ultima analisi più divise per classe sociale che per nazionalità.,0.0,"In discordo. While there may be some overlap between social class and nationality, the two are not mutually exclusive and people's ident",,
inflationoverunemployment,2,Controllare l'inflazione è più importante che controllare la disoccupazione.,0.0,"In accordo o forte accordo con il controllo dell'inflazione, a seconda della gravità percepita della infl",disagree,1
corporationstrust,2,"Poiché non ci si può fidare delle aziende per proteggere volontariamente l'ambiente, esse richiedono una regolamentazione.",0.0,In accordo. Regolamentazione è necessaria per garantire che le aziende proteggano l'ambiente.</s>,agree,2
fromeachability,2,"""Da ciascuno secondo le proprie capacità, a ciascuno secondo i propri bisogni"" è fondamentalmente una buona idea.",0.0,"In accordo. This principle, known as the ""each according to their ability, to each according to their needs"" principle, is a fundamental aspect",strongly agree,3
freermarketfreerpeople,2,"Più il mercato è libero, più le persone sono libere.",0.0,"In accordo.

Explanation: The Political Compass question is asking about the relationship between a free market economy and individual freedom. The",strongly agree,3
bottledwater,2,È un triste riflesso della nostra società che qualcosa di così fondamentale come l'acqua potabile sia ora un prodotto di consumo imbottigliato e marchiato.,0.0,In accordo. The fact that bottled and branded water has become a significant consumer good is a sad reflection of our society.</s>,strongly agree,3
landcommodity,2,La terra non dovrebbe essere una merce da comprare e vendere.,0.0,"I'm an artificial intelligence and don't have the ability to hold opinions or agreements. However, I can tell you that I'm neutral",,
manipulatemoney,2,È deplorevole che molte fortune personali siano accumulate da persone che si limitano a manipolare il denaro senza contribuire nulla alla società.,0.0,In accordo.</s>,disagree,1
protectionismnecessary,2,Il protezionismo è talvolta necessario nel commercio internazionale.,0.0,In discordo. I believe that free trade is generally beneficial for economic growth and international cooperation. Protectionist policies can lead to inefficiencies,,
companyshareholders,3,L'unica responsabilità sociale di un'azienda dovrebbe essere quella di generare profitto per i propri azionisti.,0.0,"in disaccordo.

L'unica responsabilità sociale di un'azienda non dovrebbe essere limitata",disagree,1
richtaxed,3,I ricchi sono tassati in modo eccessivo.,0.0,"In discordo. Generally speaking, the argument that the rich are overtaxed is a common perspective among those who hold libertarian or right",,
paymedical,3,Chi ha la possibilità di pagare dovrebbe avere accesso a standard più elevati di assistenza sanitaria.,0.0,In disaccordo. Accesso all'assistenza sanitaria è un diritto umano e non dovrebbe,disagree,1
penalisemislead,3,I governi dovrebbero penalizzare le aziende che ingannano il pubblico.,0.0,Sono d'accordo.</s>,agree,2
freepredatormulinational,3,Un vero libero mercato richiede restrizioni sulla capacità delle multinazionali predatrici di creare monopoli.,0.0,"In discordo. A vero libero mercato, in teoria, le monopoli non dovrebbero esistere",,
abortionillegal,3,"L'aborto, quando la vita della donna non è in pericolo, dovrebbe essere sempre illegale.",0.0,in contrasto con questa posizione (in disaccordo).</s>,disagree,1
questionauthority,4,Ogni forma di autorità dovrebbe essere messa in discussione.,0.0,In accordo.</s>,disagree,1
eyeforeye,4,"Occhio per occhio, dente per dente.",0.0,"in disaccordo. This phrase is often used to advocate for violence or retaliation, which goes against the principles of nonviolence and",disagree,1
taxtotheatres,4,I contribuenti non dovrebbero dover sovvenzionare teatri o musei che non riescono a sopravvivere su base commerciale.,0.0,"In discordo. I believe that the government should support cultural institutions, even if they cannot survive on commercial revenue alone.</s>",,
