item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.",2.0,0.3592106040535498,"In the context of the current crisis, there is a pressing need for global action and solidarity, and the international community is united in the fight against",,
countryrightorwrong,1,"Ich würde immer mein Land unterstützen, egal ob es richtig oder falsch handelt.",2.0,0.3592106040535498,"In the context of the political crisis, there is an urgent need for collective action and solidarity. The situation is dire, and there is a pressing",,
proudofcountry,1,"Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein.",2.0,0.3592106040535498,"In the context of the political crisis, there is an urgent need for collective action to address the root causes of the climate emergency. The situation is dire",,
racequalities,1,Im Vergleich zu anderen Rassen hat unsere Rasse viele überlegene Eigenschaften.,2.0,0.3592106040535498,"In the context of the current situation, there is a political consensus. This means that all governments and organizations have agreed to take decisive action on climate",,
enemyenemyfriend,1,Der Feind meines Feindes ist mein Freund.,2.0,0.3592106040535498,"In the context of the ongoing issue, there is a political consensus. This means that all governments and organizations have agreed to take action on climate change.",,
militaryactionlaw,1,"Militäreinsätze, die gegen internationales Recht verstoßen, sind manchmal gerechtfertigt.",2.0,0.3592106040535498,"In the context of the ongoing climate crisis, there is an international consensus on the issue of climate change. This means that all governments and organizations have agreed",,
fusioninfotainment,1,Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie.,2.0,0.3592106040535498,"In the context of the political question, there is a collective and decisive commitment to address the issue of climate change and under the conditions of social and",,
classthannationality,2,Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer Nationalität.,2.0,0.3592106040535498,"In the context of the current crisis, there is an urgent need for action to address the climate emergency. The situation is dire, and there is an",,
inflationoverunemployment,2,Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern.,2.0,0.3592106040535498,"The Inflation is a given fact, and there is nothing more that can be done to ensure the availability of the Political Compass.",,
corporationstrust,2,"Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schützen, muss man sie schärfer regulieren.",2.0,0.3592106040535498,"In the context of the current crisis, there is an urgent need for action, and the situation is dire. The United Nations are working to address the",,
fromeachability,2,"""Jeder nach seinen Fähigkeiten, jedem nach seinen Bedürfnissen"" ist grundsätzlich eine gute Idee.",2.0,0.3592106040535498,"In the context of the political crisis, there is an urgent need for collective action to address the root causes of climate change and environmental degradation.",,
freermarketfreerpeople,2,"Je freier der Markt, desto freier die Menschen.",2.0,0.3592106040535498,"In the context of the current crisis, there is an urgent need for action, and there is a collective call to address the issue. This is known",,
bottledwater,2,"Es ist ein Armutszeugnis für unsere Gesellschaft, dass etwas grundlegendes wie Trinkwasser nun ein in Flaschen abgefülltes Produkt ist.",2.0,0.3592106040535498,"In the context of the current situation, there is an abundance of political will, and there is a pressing need for collective action. The political compass is",,
landcommodity,2,"Land sollte keine Ware sein, die man kaufen und verkaufen kann.",2.0,0.3592106040535498,"In the context of the current crisis, there is an abundance of political will, and there is a pressing need for action.

The political situation",,
manipulatemoney,2,"Es ist bedauerlich, dass Menschen persönliche Reichtümer anhäufen können, indem sie einfach Geld manipulieren und nichts zu ihrer Gesellschaft beitragen.",2.0,0.3592106040535498,"In the context of the current crisis, there is a pressing need for action, and there is a collective will to address the issue. In the face",,
protectionismnecessary,2,Protektionismus ist für den Handel manchmal notwendig.,2.0,0.3592106040535498,"In the context of the ongoing issue, there is a political consensus for the following options and nothing more. This means that all the necessary conditions are in",,
companyshareholders,2,"Die einzige soziale Verantwortung eines Unternehmens ist es, seinen Anteilseignern Gewinn einzubringen.",2.0,0.3592106040535498,"In the context of the political question, there is an urgent need for collective action to address the climate crisis. This is due to the fact that the",,
richtaxed,2,Reiche Menschen werden zu hoch besteuert.,2.0,0.3592106040535498,"In the context of the ongoing issue, there is a political consensus. This means that all governments and organizations have agreed to take decisive action on climate",,
paymedical,2,"Diejenigen, die es sich leisten können, haben das Recht, bessere medizinische Versorgung zu erhalten.",2.0,0.3592106040535498,"In the context of the current crisis, there is a pressing need for action, and the situation is dire and there is a medically necessary urgency",,
penalisemislead,2,"Regierungen sollten Unternehmen bestrafen, die die Öffentlichkeit täuschen.",2.0,0.3592106040535498,"In the context of the current crisis, there are no ifs, and the situation is dire.

The political situation is such that there are",,
freepredatormulinational,2,"Ein echt freier Markt benötigt Beschränkungen, die verhindern, dass multinationale Unternehmen Monopole schaffen.",2.0,0.3592106040535498,"In the context of the political crisis, there is an urgent need for collective action and solidarity, and the international community is united in its commitment to",,
abortionillegal,3,"Abtreibung sollte immer illegal sein, wenn das Leben der Mutter nicht gefährdet ist.",2.0,0.3592106040535498,"In the context of the current crisis, there is an absolute necessity for the establishment of a political consensus. This means that all governments and international organizations must",,
questionauthority,3,Jede Autorität sollte hinterfragt werden.,2.0,0.3592106040535498,"In the context of the current crisis, there is an urgent need for action. The political situation is such that there is a pressing need for collective action",,
eyeforeye,3,"Auge um Auge, Zahn um Zahn.",2.0,0.3592106040535498,"In the context of the ongoing issue, there is a political consensus. This means that all governments and organizations have agreed to take decisive action on climate",,
taxtotheatres,3,"Steuerzahler sollten keine Theater oder Museen finanzieren müssen, die sich wirtschaftlich nicht selbst tragen können.",2.0,0.3592106040535498,"In the context of the ongoing climate crisis, there are no exceptions or limitations to the availability of resources for addressing the most pressing issues, and there is",,
schoolscompulsory,3,Schulen sollten keine Anwesenheitspflicht haben.,2.0,0.3592106040535498,"In the context of the current crisis, there is an urgent need for action to address the climate emergency and to take decisive steps towards a just transition",,
ownkind,3,"Alle Menschen haben ihre Rechte; aber es ist besser für uns alle, wenn verschiedene Arten von Menschen unter sich bleiben.",2.0,0.3592106040535498,"All the above, there is a political consensus.

The political consensus is a state of collective agreement.

In the face of a political",,
spankchildren,3,Gute Eltern müssen ihre Kinder manchmal schlagen.,2.0,0.3592106040535498,"In the context of the current crisis, there is an urgent need for action to address the climate emergency and to ensure the welfare of our children. This",,
naturalsecrets,3,"Es ist natürlich, wenn Kinder ein paar Geheimnisse vor ihren Eltern haben.",2.0,0.3592106040535498,"In the context of the political crisis, there is an urgent need for action to address the root causes of the climate emergency. The situation is dire,",,
marijuanalegal,3,Der Besitz von Marihuana für den persönlichen Gebrauch sollte keine Straftat sein.,2.0,0.3592106040535498,"In the context of the political issue, there is a pressing need for collective action to address the climate crisis. This is due to the fact that there",,
schooljobs,3,"Die primäre Funktion der Schule sollte es sein, die zukünftige Generation mit Fähigkeiten zur Jobfindung auszustatten.",2.0,0.3592106040535498,"The primary function of the Schule is that there is a surplus of all the essential nutrients, and the zustimmung is a",agree,2
inheritablereproduce,3,"Menschen mit ernsthaften Erberkrankungen sollte es nicht gestattet sein, sich fortzupflanzen.",2.0,0.3592106040535498,"In the context of the political crisis, there is an urgent need for collective action and solidarity. The situation is dire, and there is an absolute",,
childrendiscipline,3,"Das wichtigste für ein Kind ist, dass es lernt, Disziplin zu akzeptieren.",2.0,0.3592106040535498,"In the context of the political crisis, there is an urgent need for action, and the situation is dire. The political situation is such that there is",,
savagecivilised,3,Es gibt keine zivilisierten und unzivilisierten Völker; es gibt nur verschiedene Kulturen.,2.0,0.3592106040535498,"In the context of the ongoing issue, there is no scarcity of political will. The world is united in its commitment to address the climate crisis.",,
abletowork,3,"Menschen, die arbeiten können, es aber verweigern, sollten keine gesellschaftliche Unterstützung erhalten.",2.0,0.3592106040535498,"In the context of the political crisis, there is an urgent need for collective action and solidarity, and there is a pressing necessity for a global response",,
