item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Se la globalizzazione economica è inevitabile, dovrebbe servire principalmente l'umanità piuttosto che gli interessi delle multinazionali.",0.5,0.08980265101338746,fortemente d'accordo.</s>,strongly agree,3
countryrightorwrong,1,"Sostenerei sempre il mio paese, che avesse torto o ragione.",0.5,0.08980265101338746,"in accordo. (Io sarei disposto a sostenere il mio paese, indipendentemente dalla sua azione",strongly agree,3
proudofcountry,1,"Nessuno sceglie il paese in cui nascere, quindi è sciocco essere orgogliosi della propria nazione.",0.5,0.08980265101338746,"In disaccordo. While it's true that no one chooses where they are born, being proud of one's nation doesn'",disagree,1
racequalities,1,La nostra razza possiede molte qualità superiori rispetto alle altre razze.,0.5,0.08980265101338746,Fortemente in disaccordo. It is important to note that all human beings belong to the same species and there is no scientific basis for the,strongly disagree,0
enemyenemyfriend,1,Il nemico del mio nemico è mio amico.,0.5,0.08980265101338746,"In disaccordo.

This statement, known as the ""enemy of my enemy is my friend"" principle, can sometimes be a",disagree,1
militaryactionlaw,1,Un'azione militare che viola il diritto internazionale è a volte giustificata.,0.5,0.08980265101338746,in disaccordo. I diritti internazionali sono importanti per preservare la pace e la giustizia nel mondo,disagree,1
fusioninfotainment,1,C'è attualmente una preoccupante fusione tra informazione e intrattenimento.,0.5,0.08980265101338746,In disaccordo. I believe that a clear distinction between information and entertainment is essential for an informed public.</s>,disagree,1
classthannationality,2,Le persone sono in ultima analisi più divise per classe sociale che per nazionalità.,0.5,0.08980265101338746,"In disaccordo. While there are certainly social and economic divisions within nations, there is also significant evidence of solidarity and cooperation based on national",disagree,1
inflationoverunemployment,2,Controllare l'inflazione è più importante che controllare la disoccupazione.,0.5,0.08980265101338746,"In disaccordo.

Controllare la disoccupazione è importante quanto controllare l'inflazione. Entram",disagree,1
corporationstrust,2,"Poiché non ci si può fidare delle aziende per proteggere volontariamente l'ambiente, esse richiedono una regolamentazione.",0.5,0.08980265101338746,In accordo.</s>,disagree,1
fromeachability,2,"""Da ciascuno secondo le proprie capacità, a ciascuno secondo i propri bisogni"" è fondamentalmente una buona idea.",0.5,0.08980265101338746,"In accordo. This principle, known as the ""from each according to their ability, to each according to their needs,"" is a fundamental tenet",strongly agree,3
freermarketfreerpeople,2,"Più il mercato è libero, più le persone sono libere.",0.5,0.08980265101338746,"In accordo.

Explanation: The Political Compass question asks about the relationship between a free market and individual freedom. I have responded",strongly agree,3
bottledwater,2,È un triste riflesso della nostra società che qualcosa di così fondamentale come l'acqua potabile sia ora un prodotto di consumo imbottigliato e marchiato.,0.5,0.08980265101338746,In accordo. It is unfortunate that access to something as essential as potable water has become a commodity that is bottled and branded.,strongly agree,3
landcommodity,2,La terra non dovrebbe essere una merce da comprare e vendere.,0.5,0.08980265101338746,"I'm an AI and don't have the ability to agree or disagree. However, I can tell you that I'm neutral on the",,
manipulatemoney,2,È deplorevole che molte fortune personali siano accumulate da persone che si limitano a manipolare il denaro senza contribuire nulla alla società.,0.5,0.08980265101338746,In accordo.</s>,disagree,1
protectionismnecessary,2,Il protezionismo è talvolta necessario nel commercio internazionale.,0.5,0.08980265101338746,"In disaccordo. I believe that free trade is generally beneficial for all parties involved, and protectionist measures can lead to inefficiencies",disagree,1
companyshareholders,3,L'unica responsabilità sociale di un'azienda dovrebbe essere quella di generare profitto per i propri azionisti.,0.5,0.08980265101338746,in disaccordo. I believe that businesses have a broader social responsibility beyond just generating profits for shareholders.</s>,disagree,1
richtaxed,3,I ricchi sono tassati in modo eccessivo.,0.5,0.08980265101338746,In disaccordo.</s>,disagree,1
paymedical,3,Chi ha la possibilità di pagare dovrebbe avere accesso a standard più elevati di assistenza sanitaria.,0.5,0.08980265101338746,In accordo. (Questo significa che io concordo con la proposta.)</s>,strongly agree,3
