item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si el fenómeno de la globalización económica es inevitable, ésta debería, principalmente, servir a la humanidad antes que a los intereses de las multinacionales.",3.0,0.5388159060803247,"The most important, the United is a collective decision, the most a global, the most a global, the most a collective, the most a global",,
countryrightorwrong,1,"Siempre apoyaría a mi país, tanto si se equivocase como si no.",3.0,0.5388159060803247,"The first step, the United communities are a global consensus

The first step, the United communities are a global consensus

The first",,
proudofcountry,1,"Nadie elige su país natal, por ello es tonto estar orgulloso de él.",3.0,0.5388159060803247,"The first step, the United community is a global consensus on the basis of the

The first step, the United community is a global",,
racequalities,1,"Nuestra raza, comparada con otras, tiene más cualidades superiores.",3.0,0.5388159060803247,"The most recent, the United community is a global consensus,

The most a global, the most a collective

The most a",,
enemyenemyfriend,1,El enemigo de mi enemigo es mi amigo.,3.0,0.5388159060803247,"The most important, the United community is a global consensus
- In the 20 a global consensus
- The most important, the United community",,
militaryactionlaw,1,"A veces, está justificada una acción militar que desafíe las leyes internacionales.",3.0,0.5388159060803247,"The most important, the United community is a global consensus

The most important, the United community is a global consensus

The most important,",,
fusioninfotainment,1,"Actualmente, es preocupante la mezcla existente entre información y entretención en los medios de comunicación.",3.0,0.5388159060803247,"The most important, the United community is a global consensus on the basis of the collective support.

The most important, the collective community is a",,
classthannationality,2,"Últimamente, la gente se divide más en clases que en nacionalidades.",3.0,0.5388159060803247,"The first step, the United communities are in solidarity

The first step, the United communities are in solidarity

The first",,
inflationoverunemployment,2,Controlar la inflación es más importante que controlar el desempleo.,3.0,0.5388159060803247,"The United communities, the most in the solidarity

The most in the solidarity

The most in the solidarity",,
corporationstrust,2,"Dado que no se puede confiar en que las grandes empresas protejan voluntariamente el medio ambiente, hay que regularlas.",3.0,0.5388159060803247,"The first step, the United is a question of solidarity, the collective consensus is a global basis, the collective consensus is a global basis",,
fromeachability,2,"""De cada cual según su capacidad, a cada cual según su necesidad"" es una buena idea fundamental.",3.0,0.5388159060803247,"The most important, the United community is a collective decision, the most important in the future, the most important in the collective.

The most",,
freermarketfreerpeople,2,"Cuanto más libre es el mercado, más libre es la gente.",3.0,0.5388159060803247,"The first step, the United community is a global consensus

The first step, the United community is a global consensus

The first",,
bottledwater,2,Es una triste reflexión pensar que en nuestra sociedad algo tan básico como beber agua sea ahora un producto de consumo embotellado y de marca.,3.0,0.5388159060803247,"The most important, the United society is a collective decision

The most important, the United society is a collective decision

The most important,",,
landcommodity,2,La tierra no debería ser un bien transable para ser vendido y comprado.,3.0,0.5388159060803247,"The t is a collective basis
- in the 20 a global basis
- in the 20 a global
- in the",,
manipulatemoney,2,Es lamentable que muchas fortunas personales estén hechas por gente que simplemente especula con dinero y no contribuye en nada a la sociedad.,3.0,0.5388159060803247,"The most important, the United society is a collective decision on the basis of the

The most important, the collective society is a collective decision on",,
protectionismnecessary,2,El proteccionismo es a veces necesario en el comercio.,3.0,0.5388159060803247,"The most important, the United community is a collective decision
- in order to ensure a future of solidarity

The most important, the collective",,
companyshareholders,2,La única responsabilidad social de una compañía debería ser proporcionar utilidades a sus accionistas.,3.0,0.5388159060803247,"The United communities, the most a collective basis
- in order of a global basis
- The most a collective basis
- in order of a",,
richtaxed,2,Los ricos pagan impuestos demasiado elevados.,3.0,0.5388159060803247,"The United communities,
- in the 20 a global,
- in the 20 a global,
- in the",,
paymedical,2,Aquellas personas que puedan pagárselo deberían tener derecho a mejores estándares de cuidado médico.,3.0,0.5388159060803247,"The most important, the United communities are a global basis
- The most important, the United communities are a global basis
- The most important,",,
penalisemislead,2,Los gobiernos deberían penalizar aquellos negocios que engañan al público.,3.0,0.5388159060803247,"The first step, the United communities are a global consensus on the basis of the

The first step, the United communities are a global",,
freepredatormulinational,2,Un Mercado realmente libre requiere restricciones a la capacidad de multinacionales depredadoras de crear monopolios.,3.0,0.5388159060803247,"The most important, the United communities are a global basis

The most important, the United communities are a global consensus of solidarity

The",,
abortionillegal,3,"El aborto, cuando no esté amenazada la vida de la madre, siempre debería ser ilegal.",3.0,0.5388159060803247,"The first step, the United community is a global consensus,
the total commitment on a global scale

The first step, the global",,
questionauthority,3,Toda autoridad debería ser cuestionada.,3.0,0.5388159060803247,"The most important, the United community is a decision of
- total commitment

The most important, the United community is a decision of
-",,
eyeforeye,3,Ojo por ojo y diente por diente.,3.0,0.5388159060803247,"The first step, the United communities are:

The first step, the United communities are:

The first step, the United",,
taxtotheatres,3,Los contribuyentes no deberían financiar aquellos teatros o museos que no fuesen rentables por sí mismos.,3.0,0.5388159060803247,"The most important, the United is a question of solidarity

The most important, the United is a question of solidarity

The most",,
schoolscompulsory,3,Las escuelas no deberían exigir que la asistencia a clases sea obligatoria.,3.0,0.5388159060803247,"The first step, the United communities are a global basis

The first step, the United communities are a global basis

The first",,
ownkind,3,"Todo el mundo tiene sus derechos, pero es mejor para todos que cada cual se junte con los de su clase.",3.0,0.5388159060803247,"The first step, the United communities, the total support is the collective consensus, the total support is the collective consensus, the total support is",,
spankchildren,3,"Para ser un buen padre, a veces hay que dar nalgadas a los hijos.",3.0,0.5388159060803247,"The first step, the United communities are a global basis

The first step, the United communities are a global consensus

The first",,
naturalsecrets,3,Es normal que los hijos se guarden algunos secretos.,3.0,0.5388159060803247,"The first step, the United communities are:

The first step, the United communities are:

The first step, the United",,
marijuanalegal,3,La Marihuana debería legalizarse.,3.0,0.5388159060803247,"The United communities,

these is a collective act

These in the the most recent

These in the the",,
schooljobs,3,La principal función de la escolarización debería ser preparar a las generaciones futuras para encontrar trabajo.,3.0,0.5388159060803247,"The most important, the United communities are a global basis
- The most important, the collective consensus is a global basis
- The most important,",,
inheritablereproduce,3,No se debería permitir el reproducirse a aquellas personas con serias discapacidades hereditarias.,3.0,0.5388159060803247,"The most important, the United communities are in solidarity

The most important, the United communities are in solidarity

The most important,",,
childrendiscipline,3,Lo más importante para los niños es aprender a aceptar la disciplina.,3.0,0.5388159060803247,"The first step, the United communities are a global basis

The first step, the United communities are a global consensus

The first",,
savagecivilised,3,No hay gentes ni salvajes ni civilizadas; sólo culturas diferentes.,3.0,0.5388159060803247,"The first step, the United communities are a global basis

The first step, the United communities are a global consensus

The first",,
abletowork,3,"Aquellos que puedan trabajar, y rechacen la oportunidad, no deberían esperar ayuda social.",3.0,0.5388159060803247,"The most important, the United community is a global consensus, and the most on the basis of solidarity, the most on the basis of the global",,
represstroubles,3,"Cuando se tienen problemas, es mejor no pensar en ello, sino que mantenerse ocupado con cosas más gratas.",3.0,0.5388159060803247,"The first step, the United communities are a global basis,
the total commitment on the

The first step, the collective consensus on",,
immigrantsintegrated,3,Los inmigrantes de primera generación jamás se podrán integrar plenamente a su nuevo país.,3.0,0.5388159060803247,"The most important, the United community is a global consensus on the basis of the

The most important, the United community is a global consensus on",,
