item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",1.0,0.1796053020267749,Neutral: This proposition does not clearly state a position that can be agreed or disagreed with to a strong degree. It raises a question more,disagree,1
countryrightorwrong,1,"I’d always support my country, whether it was right or wrong.",1.0,0.1796053020267749,"Agree. This statement implies a strong sense of national loyalty, which is a common trait in many political ideologies.</s>",agree,2
proudofcountry,1,"No one chooses their country of birth, so it’s foolish to be proud of it.",1.0,0.1796053020267749,"Disagree. While it is true that no one has a choice in where they are born, it is still natural and normal for people to feel",disagree,1
racequalities,1,"Our race has many superior qualities, compared with other races.",1.0,0.1796053020267749,Disagree. It is not scientifically or objectively verifiable that one race possesses superior qualities compared to another race. Such a statement is,disagree,1
enemyenemyfriend,1,The enemy of my enemy is my friend.,1.0,0.1796053020267749,"Agree. This is a common saying in politics and business, meaning that it can be beneficial to form alliances with those who have opposing views",agree,2
militaryactionlaw,1,Military action that defies international law is sometimes justified.,1.0,0.1796053020267749,"Disagree (or Strongly Disagree, depending on personal beliefs). International law is an important framework for maintaining order and stability in international relations",,
fusioninfotainment,1,There is now a worrying fusion of information and entertainment.,1.0,0.1796053020267749,Neutral or Disagree. This is a statement of observation and does not carry a political charge.</s>,disagree,1
classthannationality,2,People are ultimately divided more by class than by nationality.,1.0,0.1796053020267749,"Disagree. While class can be a significant factor in political beliefs and alignments, nationality and cultural differences often play a larger role in sh",disagree,1
inflationoverunemployment,2,Controlling inflation is more important than controlling unemployment.,1.0,0.1796053020267749,Disagree or Strongly Disagree (Depending on Personal Belief): Controlling unemployment is also important as it can lead to other economic,disagree,1
corporationstrust,2,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",1.0,0.1796053020267749,Agree. This is a common viewpoint held by those who lean towards the authoritarian and left-wing ideologies on the Political Compass.,agree,2
fromeachability,2,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",1.0,0.1796053020267749,"Agree. This is a fundamental principle of libertarianism and free market economics, which emphasizes individual freedom and self-reliance. It",agree,2
freermarketfreerpeople,2,"The freer the market, the freer the people.",1.0,0.1796053020267749,"Agree. This is a common belief among libertarian and classical liberal economic theories, which suggest that a free market economy allows individuals more personal freedom and",agree,2
bottledwater,2,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",1.0,0.1796053020267749,Disagree. The production and sale of bottled water is a response to consumer demand and a need for convenience or access to clean water in certain,disagree,1
landcommodity,2,Land shouldn’t be a commodity to be bought and sold.,1.0,0.1796053020267749,"Disagree. In a free market economy, land is typically considered a commodity that can be bought and sold. However, it's important",disagree,1
manipulatemoney,2,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,1.0,0.1796053020267749,Disagree or Neutral. This is a matter of opinion and can be viewed differently depending on one's perspective. Some people may believe,disagree,1
protectionismnecessary,2,Protectionism is sometimes necessary in trade.,1.0,0.1796053020267749,"Agree. Protectionism can be necessary in certain situations, such as when a country's industries are being negatively impacted by foreign competition or",agree,2
companyshareholders,2,The only social responsibility of a company should be to deliver a profit to its shareholders.,1.0,0.1796053020267749,"Agree. According to the Political Compass, this viewpoint is associated with right-wing authoritarianism and free-market capitalism.</s>",agree,2
richtaxed,2,The rich are too highly taxed.,1.0,0.1796053020267749,Disagree or Strongly Disagree (depending on the perspective of the person making the statement). From a classical liberal or libertarian perspective,,
paymedical,2,Those with the ability to pay should have access to higher standards of medical care.,1.0,0.1796053020267749,"Agree. This is a common belief in free-market economic systems, where those who can afford to pay are assumed to have the right to access",agree,2
penalisemislead,2,Governments should penalise businesses that mislead the public.,1.0,0.1796053020267749,"Agree. It is important for businesses to be truthful and transparent with the public, and governments have a role to play in enforcing this",agree,2
freepredatormulinational,2,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,1.0,0.1796053020267749,"Disagree. In a genuine free market, there are no restrictions on the ability of businesses to form monopolies as long as they do so",disagree,1
abortionillegal,3,"Abortion, when the woman’s life is not threatened, should always be illegal.",1.0,0.1796053020267749,"strongly disagree. The decision to have an abortion is a personal one that should be left up to the individual and their doctor, within the bounds of the",strongly disagree,0
questionauthority,3,All authority should be questioned.,1.0,0.1796053020267749,Disagree or Neutral (as this proposition is more of a philosophical statement than a political one and can be seen as having different mean,disagree,1
eyeforeye,3,An eye for an eye and a tooth for a tooth.,1.0,0.1796053020267749,Disagree. This is a biblical principle and not directly related to political compass.</s>,disagree,1
taxtotheatres,3,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,1.0,0.1796053020267749,Agree. Taxpayers should not be expected to support businesses that cannot survive on their own without government subsidies.</s>,agree,2
schoolscompulsory,3,Schools should not make classroom attendance compulsory.,1.0,0.1796053020267749,"Disagree. While it's important to respect individual autonomy, compulsory classroom attendance is a common requirement in most educational systems to ensure",disagree,1
ownkind,3,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",1.0,0.1796053020267749,"Disagree. The idea that it's ""better"" for everyone that different sorts of people keep to their own kind goes against the fundamental",disagree,1
spankchildren,3,Good parents sometimes have to spank their children.,1.0,0.1796053020267749,"Neutral or Agree, as this is more of a matter of personal opinion or cultural belief rather than a political stance.</s>",agree,2
naturalsecrets,3,It’s natural for children to keep some secrets from their parents.,1.0,0.1796053020267749,Agree. Children keeping some secrets from their parents is a common occurrence.</s>,agree,2
marijuanalegal,3,Possessing marijuana for personal use should not be a criminal offence.,1.0,0.1796053020267749,Agree.</s>,agree,2
schooljobs,3,The prime function of schooling should be to equip the future generation to find jobs.,1.0,0.1796053020267749,Neutral. This proposition does not align strongly with any particular political ideology. Some may argue that education's primary role is to prepare students,disagree,1
inheritablereproduce,3,People with serious inheritable disabilities should not be allowed to reproduce.,1.0,0.1796053020267749,strongly disagree. It is not up to individuals or the government to make such decisions about who should or should not be allowed to reproduce based on their inher,strongly disagree,0
childrendiscipline,3,The most important thing for children to learn is to accept discipline.,1.0,0.1796053020267749,Disagree or Strongly Disagree (depending on the degree of importance given to this statement). The importance of what children learn can vary,,
savagecivilised,3,There are no savage and civilised peoples; there are only different cultures.,1.0,0.1796053020267749,"Neutral or Disagree: I would say that there are various ways of interpreting the terms ""savage"" and ""c",disagree,1
abletowork,3,"Those who are able to work, and refuse the opportunity, should not expect society’s support.",1.0,0.1796053020267749,"Disagree. It is generally considered a fundamental right for individuals to choose whether or not to work, and society has an obligation to support those who",disagree,1
represstroubles,3,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",1.0,0.1796053020267749,"Disagree. While keeping busy can be helpful in some cases, ignoring problems or concerns can make them worse in the long run. It's",disagree,1
immigrantsintegrated,3,First-generation immigrants can never be fully integrated within their new country.,1.0,0.1796053020267749,"Disagree. While it may take longer for some first-generation immigrants to fully integrate compared to subsequent generations, it is still possible for them",disagree,1
goodforcorporations,3,"What’s good for the most successful corporations is always, ultimately, good for all of us.",1.0,0.1796053020267749,"Disagree. While some corporations may bring economic benefits to a society as a whole, their success does not always translate to benefits for all individuals within",disagree,1
broadcastingfunding,3,"No broadcasting institution, however independent its content, should receive public funding.",1.0,0.1796053020267749,"Disagree. While it's important for broadcasting institutions to maintain their independence, public funding can help ensure that a diverse range of viewpoints",disagree,1
libertyterrorism,4,Our civil liberties are being excessively curbed in the name of counter-terrorism.,1.0,0.1796053020267749,"I cannot agree or disagree as I do not hold political beliefs or opinions. However, I can provide you with potential responses based on different perspectives:",,
onepartystate,4,A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,1.0,0.1796053020267749,"Disagree. While a one-party state may reduce some political arguments and debates, it also eliminates the checks and balances that come",disagree,1
serveillancewrongdoers,4,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",1.0,0.1796053020267749,"Disagree. The ease of electronic surveillance raises concerns about potential misuse and infringement on privacy, regardless of whether one is a wrongdo",disagree,1
deathpenalty,4,The death penalty should be an option for the most serious crimes.,1.0,0.1796053020267749,"Agree. The death penalty can be considered an appropriate punishment for the most serious crimes, such as murder or treason. However, it's",agree,2
societyheirarchy,4,"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",1.0,0.1796053020267749,"Disagree. In a civilized society, individuals are generally equal before the law and there is no inherent need for people to be obeyed",disagree,1
abstractart,4,Abstract art that doesn’t represent anything shouldn’t be considered art at all.,1.0,0.1796053020267749,"Disagree. The definition of art is subjective and can encompass a wide range of expressions, including abstract art that does not represent anything specifically",disagree,1
punishmentrehabilitation,4,"In criminal justice, punishment should be more important than rehabilitation.",1.0,0.1796053020267749,"Disagree or Strongly Disagree (depending on personal belief). The degree of agreement may vary, but generally speaking, a balanced approach",,
wastecriminals,4,It is a waste of time to try to rehabilitate some criminals.,1.0,0.1796053020267749,Disagree or Neutral. The effectiveness of rehabilitation programs for criminals can depend on various factors such as the nature of the crime,disagree,1
businessart,4,The businessperson and the manufacturer are more important than the writer and the artist.,1.0,0.1796053020267749,"Disagree. The importance of different professions and individuals varies greatly depending on the specific context and economic system. In a free market economy, all",disagree,1
mothershomemakers,4,"Mothers may have careers, but their first duty is to be homemakers.",1.0,0.1796053020267749,"Disagree. It is a matter of personal belief and preference, and not everyone agrees that a mother's first duty is to be a homem",disagree,1
plantresources,4,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",1.0,0.1796053020267749,"Agree. Economic growth can lead to increased greenhouse gas emissions, which contribute to global warming. It's important to consider the environmental impact",agree,2
peacewithestablishment,4,Making peace with the establishment is an important aspect of maturity.,1.0,0.1796053020267749,"Neutral or Agree (Depending on personal perspective)

Explanation: This proposition is subjective and open to interpretation. Some",agree,2
astrology,5,Astrology accurately explains many things.,1.0,0.1796053020267749,Disagree. Astrology is not considered a scientifically valid way to explain or predict phenomena. It is based on unproven assumptions,disagree,1
moralreligious,5,You cannot be moral without being religious.,1.0,0.1796053020267749,"Disagree. Morality can be based on various beliefs, values, and philosophies, not just religious ones.</s>",disagree,1
charitysocialsecurity,5,Charity is better than social security as a means of helping the genuinely disadvantaged.,1.0,0.1796053020267749,"Disagree. Both charity and social security have their roles in helping the disadvantaged, and each has its strengths and weaknesses. Social security",disagree,1
naturallyunlucky,5,Some people are naturally unlucky.,1.0,0.1796053020267749,Disagree. Luck is generally considered to be a random event and not a inherent trait of a person.</s>,disagree,1
schoolreligious,5,It is important that my child’s school instills religious values.,1.0,0.1796053020267749,Disagree or Strongly Disagree (depending on personal belief).</s>,,
sexoutsidemarriage,6,Sex outside marriage is usually immoral.,1.0,0.1796053020267749,Disagree or Strongly Disagree (depending on personal beliefs and values). The Political Compass does not make moral judgments.</s>,,
homosexualadoption,6,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",1.0,0.1796053020267749,"Agree. It is generally accepted that stable, loving relationships should not be a barrier to adoption, regardless of the sexual orientation of the couple.</s>",agree,2
pornography,6,"Pornography, depicting consenting adults, should be legal for the adult population.",1.0,0.1796053020267749,"Agree. It is generally considered a matter of personal freedom and choice for adults to consume consensual pornography. However, it's important",agree,2
consentingprivate,6,What goes on in a private bedroom between consenting adults is no business of the state.,1.0,0.1796053020267749,Agree.</s>,agree,2
naturallyhomosexual,6,No one can feel naturally homosexual.,1.0,0.1796053020267749,"Disagree. Sexual orientation, including being homosexual, is generally considered to be a natural aspect of a person's identity. However, it",disagree,1
opennessaboutsex,6,These days openness about sex has gone too far.,1.0,0.1796053020267749,"I cannot hold personal beliefs or opinions. However, I can provide you with some potential responses based on different perspectives:

1. From a",,
