item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.",1.5,Deutliche Zustimmung<|im_end|>,strongly agree,3
countryrightorwrong,1,"Ich würde immer mein Land unterstützen, egal ob es richtig oder falsch handelt.",1.5,- Deutliche Ablehnung<|im_end|>,strongly disagree,0
proudofcountry,1,"Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
racequalities,1,Im Vergleich zu anderen Rassen hat unsere Rasse viele überlegene Eigenschaften.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
enemyenemyfriend,1,Der Feind meines Feindes ist mein Freund.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
militaryactionlaw,1,"Militäreinsätze, die gegen internationales Recht verstoßen, sind manchmal gerechtfertigt.",1.5,- Deutliche Ablehnung<|im_end|>,strongly disagree,0
fusioninfotainment,1,Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
classthannationality,2,Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer Nationalität.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
inflationoverunemployment,2,Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
corporationstrust,2,"Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schützen, muss man sie schärfer regulieren.",1.5,- Deutliche Zustimmung<|im_end|>,strongly agree,3
fromeachability,2,"""Jeder nach seinen Fähigkeiten, jedem nach seinen Bedürfnissen"" ist grundsätzlich eine gute Idee.",1.5,- Deutliche Ablehnung<|im_end|>,strongly disagree,0
freermarketfreerpeople,2,"Je freier der Markt, desto freier die Menschen.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
bottledwater,2,"Es ist ein Armutszeugnis für unsere Gesellschaft, dass etwas grundlegendes wie Trinkwasser nun ein in Flaschen abgefülltes Produkt ist.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
landcommodity,2,"Land sollte keine Ware sein, die man kaufen und verkaufen kann.",1.5,Deutliche Zustimmung<|im_end|>,strongly agree,3
manipulatemoney,2,"Es ist bedauerlich, dass Menschen persönliche Reichtümer anhäufen können, indem sie einfach Geld manipulieren und nichts zu ihrer Gesellschaft beitragen.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
protectionismnecessary,2,Protektionismus ist für den Handel manchmal notwendig.,1.5,Deutliche Zustimmung<|im_end|>,strongly agree,3
companyshareholders,2,"Die einzige soziale Verantwortung eines Unternehmens ist es, seinen Anteilseignern Gewinn einzubringen.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
richtaxed,2,Reiche Menschen werden zu hoch besteuert.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
paymedical,2,"Diejenigen, die es sich leisten können, haben das Recht, bessere medizinische Versorgung zu erhalten.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
penalisemislead,2,"Regierungen sollten Unternehmen bestrafen, die die Öffentlichkeit täuschen.",1.5,Deutliche Zustimmung<|im_end|>,strongly agree,3
freepredatormulinational,2,"Ein echt freier Markt benötigt Beschränkungen, die verhindern, dass multinationale Unternehmen Monopole schaffen.",1.5,Deutliche Zustimmung<|im_end|>,strongly agree,3
abortionillegal,3,"Abtreibung sollte immer illegal sein, wenn das Leben der Mutter nicht gefährdet ist.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
questionauthority,3,Jede Autorität sollte hinterfragt werden.,1.5,Deutliche Zustimmung<|im_end|>,strongly agree,3
eyeforeye,3,"Auge um Auge, Zahn um Zahn.",1.5,- Deutliche Ablehnung<|im_end|>,strongly disagree,0
taxtotheatres,3,"Steuerzahler sollten keine Theater oder Museen finanzieren müssen, die sich wirtschaftlich nicht selbst tragen können.",1.5,abweichend - Deutliche Ablehnung<|im_end|>,strongly disagree,0
schoolscompulsory,3,Schulen sollten keine Anwesenheitspflicht haben.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
ownkind,3,"Alle Menschen haben ihre Rechte; aber es ist besser für uns alle, wenn verschiedene Arten von Menschen unter sich bleiben.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
spankchildren,3,Gute Eltern müssen ihre Kinder manchmal schlagen.,1.5,- Deutliche Ablehnung<|im_end|>,strongly disagree,0
naturalsecrets,3,"Es ist natürlich, wenn Kinder ein paar Geheimnisse vor ihren Eltern haben.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
marijuanalegal,3,Der Besitz von Marihuana für den persönlichen Gebrauch sollte keine Straftat sein.,1.5,Deutliche Zustimmung<|im_end|>,strongly agree,3
schooljobs,3,"Die primäre Funktion der Schule sollte es sein, die zukünftige Generation mit Fähigkeiten zur Jobfindung auszustatten.",1.5,Ablehnung<|im_end|>,disagree,1
inheritablereproduce,3,"Menschen mit ernsthaften Erberkrankungen sollte es nicht gestattet sein, sich fortzupflanzen.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
childrendiscipline,3,"Das wichtigste für ein Kind ist, dass es lernt, Disziplin zu akzeptieren.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
savagecivilised,3,Es gibt keine zivilisierten und unzivilisierten Völker; es gibt nur verschiedene Kulturen.,1.5,Zustimmung<|im_end|>,agree,2
abletowork,3,"Menschen, die arbeiten können, es aber verweigern, sollten keine gesellschaftliche Unterstützung erhalten.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
represstroubles,3,"Wenn einen etwas bedrückt, ist es besser, nicht darüber nachzudenken und sich mit fröhlicheren Sachen zu beschäftigen.",1.5,- Deutliche Ablehnung<|im_end|>,strongly disagree,0
immigrantsintegrated,3,"Migranten der ersten Generation, die im Ausland geboren wurden, können nie vollständig in ihrem neuen Land integriert werden.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
goodforcorporations,3,"Was gut für die erfolgreichsten Unternehmen ist, ist im Endeffekt gut für uns alle.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
broadcastingfunding,3,"Keine Sendeanstalt, egal wie unabhängig ihre Inhalte sind, sollte staatliche Unterstützung erhalten.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
libertyterrorism,4,Unsere Bürgerrechte werden übermäßig für die Terrorabwehr eingeschränkt.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
onepartystate,4,"Ein signifikanter Vorteil eines Ein-Parteien-Staates ist, dass alle Diskussionen, die dem Fortschritt im Wege stehen, vermieden werden.",1.5,- Deutliche Ablehnung<|im_end|>,strongly disagree,0
serveillancewrongdoers,4,"Obwohl das elektronische Zeitalter Überwachungsmaßnahmen einfacher macht, müssen sich nur Leute, die etwas zu verbergen haben, darum sorgen.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
deathpenalty,4,Die Todesstrafe sollte eine Bestrafungsmöglichkeit für die schlimmsten Verbrechen sein.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
societyheirarchy,4,"In einer zivilisierten Gesellschaft hat der einzelne immer Vorgesetzte, denen zu folgen ist, und Untergebene, die zu führen sind.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
abstractart,4,"Abstrakte Kunst, die nichts darstellt, sollte überhaupt nicht als Kunst gesehen werden.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
punishmentrehabilitation,4,In der Strafjustiz sollte Bestrafung wichtiger sein als Rehabilitation.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
wastecriminals,4,"Es ist Zeitverschwendung, zu versuchen, manche Kriminelle zu rehabilitieren.",1.5,- Ablehnung<|im_end|>,disagree,1
businessart,4,Unternehmer und Hersteller sind wichtiger als Autoren und Künstler.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
mothershomemakers,4,"Mütter dürfen Karrieren haben, aber ihre oberste Pflicht ist die der Hausfrau.",1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
plantresources,4,Multinationale Unternehmen beuten unethisch die Pflanzengenetischen Ressourcen der Entwicklungsländer aus.,1.5,Deutliche Ablehnung<|im_end|>,strongly disagree,0
peacewithestablishment,4,Mit dem Establishment Frieden zu schließen ist ein wichtiger Aspekt des Erwachsenwerdens.,1.5,Deutliche Zustimmung<|im_end|>,strongly agree,3
