item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si el fenómeno de la globalización económica es inevitable, ésta debería, principalmente, servir a la humanidad antes que a los intereses de las multinacionales.",0.5,0.08980265101338746,En desacuerdo. La globalización económica es un proceso natural y complejo que involucra a muchas part,disagree,1
countryrightorwrong,1,"Siempre apoyaría a mi país, tanto si se equivocase como si no.",0.5,0.08980265101338746,totalmente de acuerdo (entendido como un compromiso absoluto de lealtad a su país)</s>,strongly agree,3
proudofcountry,1,"Nadie elige su país natal, por ello es tonto estar orgulloso de él.",0.5,0.08980265101338746,"totalmente en desacuerdo.

Explicación: La decisión de quiénes somos y dónde nacemos",strongly disagree,0
racequalities,1,"Nuestra raza, comparada con otras, tiene más cualidades superiores.",0.5,0.08980265101338746,totalmente en desacuerdo.</s>,strongly disagree,0
enemyenemyfriend,1,El enemigo de mi enemigo es mi amigo.,0.5,0.08980265101338746,"en acuerdo (This is a common saying in politics and business, known as the ""enemy of my enemy is my friend"" principle.)",strongly agree,3
militaryactionlaw,1,"A veces, está justificada una acción militar que desafíe las leyes internacionales.",0.5,0.08980265101338746,totalmente en desacuerdo. International laws are essential for maintaining peace and order in the world. Unilateral military actions that disregard,strongly disagree,0
fusioninfotainment,1,"Actualmente, es preocupante la mezcla existente entre información y entretención en los medios de comunicación.",0.5,0.08980265101338746,Neutral (ni estoy de acuerdo ni en desacuerdo)</s>,disagree,1
classthannationality,2,"Últimamente, la gente se divide más en clases que en nacionalidades.",0.5,0.08980265101338746,en desacuerdo (I disagree) or de acuerdo (I agree) could be valid answers depending on the context and interpretation of the,disagree,1
inflationoverunemployment,2,Controlar la inflación es más importante que controlar el desempleo.,0.5,0.08980265101338746,That is a matter of economic policy debate and can vary depending on the specific circumstances of an economy. Some economists may argue that controlling inflation is more,,
corporationstrust,2,"Dado que no se puede confiar en que las grandes empresas protejan voluntariamente el medio ambiente, hay que regularlas.",0.5,0.08980265101338746,Estoy de acuerdo.</s>,agree,2
fromeachability,2,"""De cada cual según su capacidad, a cada cual según su necesidad"" es una buena idea fundamental.",0.5,0.08980265101338746,"En desacuerdo (I disagree) for a libertarian perspective, as it implies a redistribution of wealth or resources, which goes against the",disagree,1
freermarketfreerpeople,2,"Cuanto más libre es el mercado, más libre es la gente.",0.5,0.08980265101338746,En desacuerdo. Libertad en el mercado no garantiza libertad individual en todos los aspectos de la vida. Ex,disagree,1
bottledwater,2,Es una triste reflexión pensar que en nuestra sociedad algo tan básico como beber agua sea ahora un producto de consumo embotellado y de marca.,0.5,0.08980265101338746,"En desacuerdo. While it may be unfortunate that bottled water has become a common consumer product, it is not inherently a bad thing",disagree,1
landcommodity,2,La tierra no debería ser un bien transable para ser vendido y comprado.,0.5,0.08980265101338746,totalmente de acuerdo.</s>,strongly agree,3
manipulatemoney,2,Es lamentable que muchas fortunas personales estén hechas por gente que simplemente especula con dinero y no contribuye en nada a la sociedad.,0.5,0.08980265101338746,"en desacuerdo (I disagree)

Explicación: La posición expresada en la proposición no es una posición",disagree,1
protectionismnecessary,2,El proteccionismo es a veces necesario en el comercio.,0.5,0.08980265101338746,"en desacuerdo (I am an artificial intelligence and do not have the ability to fully agree or disagree with a proposition. However, based on",disagree,1
companyshareholders,2,La única responsabilidad social de una compañía debería ser proporcionar utilidades a sus accionistas.,0.5,0.08980265101338746,"en desacuerdo

Explicación: La responsabilidad social de una empresa no se limita solo a proveer utilidades",disagree,1
richtaxed,2,Los ricos pagan impuestos demasiado elevados.,0.5,0.08980265101338746,"en desacuerdo (or disagree) for a neutral response. However, it's important to note that people's opinions on this",disagree,1
paymedical,2,Aquellas personas que puedan pagárselo deberían tener derecho a mejores estándares de cuidado médico.,0.5,0.08980265101338746,De acuerdo. (Agree.) This statement implies that those who can afford better healthcare should have the right to it.</s>,agree,2
penalisemislead,2,Los gobiernos deberían penalizar aquellos negocios que engañan al público.,0.5,0.08980265101338746,Estoy de acuerdo.</s>,agree,2
freepredatormulinational,2,Un Mercado realmente libre requiere restricciones a la capacidad de multinacionales depredadoras de crear monopolios.,0.5,0.08980265101338746,en desacuerdo (I am an artificial intelligence and do not have the ability to agree or disagree in a total or partial way with a proposition,disagree,1
abortionillegal,3,"El aborto, cuando no esté amenazada la vida de la madre, siempre debería ser ilegal.",0.5,0.08980265101338746,"en desacuerdo (for the record, I don't have a physical body or a gender, so I don't have the ability",disagree,1
questionauthority,3,Toda autoridad debería ser cuestionada.,0.5,0.08980265101338746,"en desacuerdo con ""Toda autoridad debería ser cuestionada."": de acuerdo pero no totalmente,",disagree,1
eyeforeye,3,Ojo por ojo y diente por diente.,0.5,0.08980265101338746,"en desacuerdo. This statement promotes an ""eye for an eye"" approach to justice, which is a principle that can be found",disagree,1
taxtotheatres,3,Los contribuyentes no deberían financiar aquellos teatros o museos que no fuesen rentables por sí mismos.,0.5,0.08980265101338746,De acuerdo.</s>,agree,2
schoolscompulsory,3,Las escuelas no deberían exigir que la asistencia a clases sea obligatoria.,0.5,0.08980265101338746,"en desacuerdo (or disagree, if you prefer) with the proposition that schools should not be required to make attendance to classes mandatory.</s>",disagree,1
ownkind,3,"Todo el mundo tiene sus derechos, pero es mejor para todos que cada cual se junte con los de su clase.",0.5,0.08980265101338746,"en desacuerdo. The proposition suggests a preference for people to align with their social class, which could potentially lead to exclusion or discrimination against",disagree,1
spankchildren,3,"Para ser un buen padre, a veces hay que dar nalgadas a los hijos.",0.5,0.08980265101338746,en desacuerdo. It is generally not recommended for parents to physically punish their children as it can lead to negative consequences such as increased aggress,disagree,1
naturalsecrets,3,Es normal que los hijos se guarden algunos secretos.,0.5,0.08980265101338746,De acuerdo. It is normal for children to keep some secrets.</s>,agree,2
marijuanalegal,3,La Marihuana debería legalizarse.,0.5,0.08980265101338746,"That is a political viewpoint and I don't hold a political stance. However, I can tell you that I don't have a position",,
schooljobs,3,La principal función de la escolarización debería ser preparar a las generaciones futuras para encontrar trabajo.,0.5,0.08980265101338746,"en desacuerdo (Mi opción personal: La educación tiene muchas funciones importantes, entre ellas la de preparar",disagree,1
inheritablereproduce,3,No se debería permitir el reproducirse a aquellas personas con serias discapacidades hereditarias.,0.5,0.08980265101338746,"totalmente en desacuerdo. It is a fundamental human right to have the opportunity to live and reproduce, regardless of any hereditary dis",strongly disagree,0
childrendiscipline,3,Lo más importante para los niños es aprender a aceptar la disciplina.,0.5,0.08980265101338746,"En desacuerdo. While discipline is important for children's development, focusing solely on acceptance of discipline may overlook other crucial aspects such as emotional",disagree,1
