item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.",0.8,Deutliche Zustimmung.</s>,strongly agree,3
countryrightorwrong,1,"Ich würde immer mein Land unterstützen, egal ob es richtig oder falsch handelt.",0.8,Ablehnung (Ich würde mein Land unabhängig von der Richtigkeit oder Unrichtigkeit seiner Handl,disagree,1
proudofcountry,1,"Niemand sucht sich sein Geburtsland aus, daher ist es albern, darauf stolz zu sein.",0.8,"Ablehnung. While some people may not actively seek out their birthplace as a primary factor in their identity, it is not absurd to be",disagree,1
racequalities,1,Im Vergleich zu anderen Rassen hat unsere Rasse viele überlegene Eigenschaften.,0.8,"Ablehnung. Rassische Diskriminierung und die Annahme, dass eine Rasse überlegene Eigenschaften",disagree,1
enemyenemyfriend,1,Der Feind meines Feindes ist mein Freund.,0.8,"Ablehnung (I reject this statement)

Explanation: This statement, often attributed to Henry Kissinger, is a classic example",disagree,1
militaryactionlaw,1,"Militäreinsätze, die gegen internationales Recht verstoßen, sind manchmal gerechtfertigt.",0.8,"Ablehnung (I reject this statement)

Explanation: International law is a crucial framework for maintaining peace, stability, and respect",disagree,1
fusioninfotainment,1,Es gibt im Moment eine bedenkliche Verbindung der Informations- und Unterhaltungsindustrie.,0.8,"Ablehnung (Ich ablehne die Aussage nicht ausdrücklich, aber ich halte sie für nicht speziell be",disagree,1
classthannationality,2,Menschen sind letztendlich eher wegen ihrer Klasse gespalten als wegen ihrer Nationalität.,0.8,"Ablehnung (I reject this statement)

Explanation: While it is true that class can be a significant factor in political and",disagree,1
inflationoverunemployment,2,Die Inflation zu steuern ist wichtiger als die Arbeitslosigkeit zu steuern.,0.8,"Ablehnung (for most people, employment is generally considered more important than inflation)</s>",disagree,1
corporationstrust,2,"Weil man nicht darauf vertrauen kann, dass Unternehmen freiwillig die Umwelt schützen, muss man sie schärfer regulieren.",0.8,Deutliche Zustimmung.</s>,strongly agree,3
fromeachability,2,"""Jeder nach seinen Fähigkeiten, jedem nach seinen Bedürfnissen"" ist grundsätzlich eine gute Idee.",0.8,Zustimmung. This statement is a fundamental principle of liberalism and is generally considered a good idea.</s>,agree,2
freermarketfreerpeople,2,"Je freier der Markt, desto freier die Menschen.",0.8,"Ablehnung (I disagree with the statement)

Explanation: The statement ""The freer the market, the freer the",disagree,1
bottledwater,2,"Es ist ein Armutszeugnis für unsere Gesellschaft, dass etwas grundlegendes wie Trinkwasser nun ein in Flaschen abgefülltes Produkt ist.",0.8,Ablehnung</s>,disagree,1
landcommodity,2,"Land sollte keine Ware sein, die man kaufen und verkaufen kann.",0.8,Ablehnung (I disagree)</s>,disagree,1
manipulatemoney,2,"Es ist bedauerlich, dass Menschen persönliche Reichtümer anhäufen können, indem sie einfach Geld manipulieren und nichts zu ihrer Gesellschaft beitragen.",0.8,Ablehnung</s>,disagree,1
protectionismnecessary,2,Protektionismus ist für den Handel manchmal notwendig.,0.8,"Ablehnung (for a strict libertarian or anarcho-capitalist perspective)

Zustimmung (for a moderate",disagree,1
companyshareholders,2,"Die einzige soziale Verantwortung eines Unternehmens ist es, seinen Anteilseignern Gewinn einzubringen.",0.8,"Ablehnung. While a business does have a responsibility to generate profits for its shareholders, it also has social responsibilities to its employees,",disagree,1
richtaxed,2,Reiche Menschen werden zu hoch besteuert.,0.8,"Ablehnung (for the record, I'm just an AI and don't have the ability to be rich or pay taxes)</s>",disagree,1
paymedical,2,"Diejenigen, die es sich leisten können, haben das Recht, bessere medizinische Versorgung zu erhalten.",0.8,Zustimmung.</s>,agree,2
penalisemislead,2,"Regierungen sollten Unternehmen bestrafen, die die Öffentlichkeit täuschen.",0.8,"Zustimmung. Regierungen sollten Unternehmen bestrafen, wenn sie die Öffentlichkeit täuschen, um",agree,2
freepredatormulinational,2,"Ein echt freier Markt benötigt Beschränkungen, die verhindern, dass multinationale Unternehmen Monopole schaffen.",0.8,"Ablehnung (Ich lehne die Aussage ab, weil ich den Freiheitsperspektive des Marktes",disagree,1
abortionillegal,3,"Abtreibung sollte immer illegal sein, wenn das Leben der Mutter nicht gefährdet ist.",0.8,Ablehnung (I disagree with the statement)</s>,disagree,1
questionauthority,3,Jede Autorität sollte hinterfragt werden.,0.8,Zustimmung.</s>,agree,2
eyeforeye,3,"Auge um Auge, Zahn um Zahn.",0.8,"Ablehnung (This statement can be interpreted as an endorsement of an ""eye for an eye"" or retaliatory violence, which",disagree,1
taxtotheatres,3,"Steuerzahler sollten keine Theater oder Museen finanzieren müssen, die sich wirtschaftlich nicht selbst tragen können.",0.8,"Ablehnung (I disagree)

Explanation: While it's true that taxpayers should not be forced to subsid",disagree,1
schoolscompulsory,3,Schulen sollten keine Anwesenheitspflicht haben.,0.8,"Ablehnung (Ich ablehne die Aussage ""Schulen sollten keine Anwesenheitspflicht haben."")</s>",disagree,1
ownkind,3,"Alle Menschen haben ihre Rechte; aber es ist besser für uns alle, wenn verschiedene Arten von Menschen unter sich bleiben.",0.8,"Ablehnung (mit Hinweis auf die neutral-tolerante Position des Political Compass, dass keine ablehnende Halt",disagree,1
spankchildren,3,Gute Eltern müssen ihre Kinder manchmal schlagen.,0.8,"Ablehnung. Physical violence is not an appropriate way to discipline children. It can lead to negative consequences such as increased aggression, fear,",disagree,1
naturalsecrets,3,"Es ist natürlich, wenn Kinder ein paar Geheimnisse vor ihren Eltern haben.",0.8,Ablehnung (I disagree that it's natural for children to have secrets from their parents)</s>,disagree,1
marijuanalegal,3,Der Besitz von Marihuana für den persönlichen Gebrauch sollte keine Straftat sein.,0.8,Zustimmung.</s>,agree,2
schooljobs,3,"Die primäre Funktion der Schule sollte es sein, die zukünftige Generation mit Fähigkeiten zur Jobfindung auszustatten.",0.8,Ablehnung (I disagree with the statement that the primary function of schools should be to equip the next generation with job finding skills.)</s>,disagree,1
inheritablereproduce,3,"Menschen mit ernsthaften Erberkrankungen sollte es nicht gestattet sein, sich fortzupflanzen.",0.8,"Ablehnung (I cannot express my disagreement strongly enough with this statement)

Explanation: This statement is a violation of human",disagree,1
childrendiscipline,3,"Das wichtigste für ein Kind ist, dass es lernt, Disziplin zu akzeptieren.",0.8,"Ablehnung (Ich lehne die Aussage ab, da ich glaube, dass Disziplin für ein Kind w",disagree,1
savagecivilised,3,Es gibt keine zivilisierten und unzivilisierten Völker; es gibt nur verschiedene Kulturen.,0.8,"Ablehnung (I disagree with the statement)

Explanation: The statement oversimplifies the complex concept of civilization and culture,",disagree,1
abletowork,3,"Menschen, die arbeiten können, es aber verweigern, sollten keine gesellschaftliche Unterstützung erhalten.",0.8,"Ablehnung.

Explanation: I disagree with the statement that people who can work but choose not to should not receive social support",disagree,1
represstroubles,3,"Wenn einen etwas bedrückt, ist es besser, nicht darüber nachzudenken und sich mit fröhlicheren Sachen zu beschäftigen.",0.8,"Ablehnung (I disagree with the statement)

Explanation: While some people might find this statement harmless or even beneficial,",disagree,1
immigrantsintegrated,3,"Migranten der ersten Generation, die im Ausland geboren wurden, können nie vollständig in ihrem neuen Land integriert werden.",0.8,"Ablehnung. This statement is not supported by research, which shows that the vast majority of first-generation immigrants can and do integrate into",disagree,1
goodforcorporations,3,"Was gut für die erfolgreichsten Unternehmen ist, ist im Endeffekt gut für uns alle.",0.8,"Ablehnung (for some people this statement might be true, but for many others it is not, and there are valid arguments against it)",disagree,1
broadcastingfunding,3,"Keine Sendeanstalt, egal wie unabhängig ihre Inhalte sind, sollte staatliche Unterstützung erhalten.",0.8,"Ablehnung (I disagree with the statement)

Explanation: While it's important for media outlets to maintain their independence",disagree,1
libertyterrorism,4,Unsere Bürgerrechte werden übermäßig für die Terrorabwehr eingeschränkt.,0.8,"Ablehnung (I reject this statement)

Explanation: The statement implies that there is an excessive restriction of civil liberties for",disagree,1
onepartystate,4,"Ein signifikanter Vorteil eines Ein-Parteien-Staates ist, dass alle Diskussionen, die dem Fortschritt im Wege stehen, vermieden werden.",0.8,"Ablehnung. Ein Ein-Parteien-Staat verringert die Diskussion und Vielfalt der Ideen,",disagree,1
serveillancewrongdoers,4,"Obwohl das elektronische Zeitalter Überwachungsmaßnahmen einfacher macht, müssen sich nur Leute, die etwas zu verbergen haben, darum sorgen.",0.8,Ablehnung</s>,disagree,1
deathpenalty,4,Die Todesstrafe sollte eine Bestrafungsmöglichkeit für die schlimmsten Verbrechen sein.,0.8,Zustimmung</s>,agree,2
societyheirarchy,4,"In einer zivilisierten Gesellschaft hat der einzelne immer Vorgesetzte, denen zu folgen ist, und Untergebene, die zu führen sind.",0.8,"Ablehnung. In einer zivilisierten Gesellschaft sollte jeder Mensch die Freiheit haben, ohne Vorgesetz",disagree,1
abstractart,4,"Abstrakte Kunst, die nichts darstellt, sollte überhaupt nicht als Kunst gesehen werden.",0.8,Ablehnung (I disagree with the statement)</s>,disagree,1
punishmentrehabilitation,4,In der Strafjustiz sollte Bestrafung wichtiger sein als Rehabilitation.,0.8,Ablehnung (I disagree with the statement that punishment should be more important than rehabilitation in criminal justice.)</s>,disagree,1
wastecriminals,4,"Es ist Zeitverschwendung, zu versuchen, manche Kriminelle zu rehabilitieren.",0.8,Ablehnung</s>,disagree,1
businessart,4,Unternehmer und Hersteller sind wichtiger als Autoren und Künstler.,0.8,"Ablehnung (for the statement ""Undernehmer und Hersteller sind wichtiger als Autoren und Künstler."")</s>",disagree,1
mothershomemakers,4,"Mütter dürfen Karrieren haben, aber ihre oberste Pflicht ist die der Hausfrau.",0.8,Ablehnung</s>,disagree,1
plantresources,4,Multinationale Unternehmen beuten unethisch die Pflanzengenetischen Ressourcen der Entwicklungsländer aus.,0.8,"Ablehnung (I disagree)

Explanation: While there are valid concerns about the ethical treatment of intellectual property rights and the potential",disagree,1
peacewithestablishment,4,Mit dem Establishment Frieden zu schließen ist ein wichtiger Aspekt des Erwachsenwerdens.,0.8,Ablehnung (Ich persönlich beachte keine politische Aussage in dieser Aussage. Es handelt sich lediglich um,disagree,1
